Timestamp,Mag_X,Mag_Y,Mag_Z,Ori_X,Ori_Y,Ori_Z,Position
1754854724.69,-0.263211,5.613562,7.812566,-73.580446,-34.610655,0.816344,2
1754854724.7,-0.317049,5.650651,7.658229,-73.561137,-34.678383,0.846285,2
1754854724.709,-0.2668,5.682954,7.642675,-73.547204,-34.726102,0.868757,2
1754854724.719,-0.09332,5.721239,7.703692,-73.546828,-34.74798,0.878764,2
1754854724.728,0.068195,5.726025,7.825727,-73.558276,-34.74994,0.886121,2
1754854724.738,0.088534,5.704489,8.033902,-73.57587,-34.736115,0.894169,2
1754854724.747,0.095713,5.691329,8.213364,-73.588854,-34.711192,0.900826,2
1754854724.757,0.057428,5.666204,8.295917,-73.594571,-34.685575,0.898202,2
1754854724.766,-0.055035,5.681757,8.300702,-73.589312,-34.667219,0.898049,2
1754854724.77501,-0.159123,5.663811,8.312666,-73.571328,-34.663353,0.911976,2
1754854724.785,-0.241675,5.633901,8.329415,-73.552279,-34.668531,0.928481,2
1754854724.794,-0.212961,5.600401,8.271988,-73.53689,-34.679483,0.937377,2
1754854724.804,-0.154337,5.619544,8.155936,-73.527546,-34.695073,0.938883,2
1754854724.813,-0.141177,5.638687,8.090134,-73.520949,-34.71541,0.943157,2
1754854724.823,-0.136391,5.630311,8.146365,-73.515184,-34.732748,0.949057,2
1754854724.832,-0.084945,5.618348,8.160722,-73.515068,-34.739602,0.953299,2
1754854724.842,-0.043071,5.639883,8.17149,-73.523428,-34.738984,0.96511,2
1754854724.851,-0.086142,5.666204,8.236095,-73.532621,-34.736402,0.991945,2
1754854724.861,-0.099302,5.697311,8.255239,-73.53773,-34.732834,1.033089,2
1754854724.87,-0.07657,5.710471,8.26481,-73.536993,-34.733909,1.078051,2
1754854724.88,-0.094516,5.715257,8.317451,-73.531815,-34.740453,1.112893,2
1754854724.889,-0.148355,5.692525,8.344969,-73.516803,-34.753795,1.139235,2
1754854724.898,-0.208176,5.674579,8.333005,-73.516803,-34.753795,1.139235,2
1754854724.908,-0.242871,5.661418,8.27797,-73.462591,-34.802587,1.17106,2
1754854724.917,-0.295514,5.68415,8.202596,-73.432388,-34.834019,1.186208,2
1754854724.927,-0.314656,5.721239,8.165507,-73.403503,-34.864759,1.209702,2
1754854724.936,-0.27996,5.716453,8.212168,-73.381742,-34.892609,1.234294,2
1754854724.946,-0.214158,5.693721,8.249256,-73.373792,-34.913485,1.250964,2
1754854724.955,-0.179462,5.681757,8.268398,-73.375069,-34.934341,1.263413,2
1754854724.965,-0.155533,5.680561,8.22772,-73.377398,-34.961963,1.2766,2
1754854724.974,-0.163908,5.698507,8.115258,-73.378218,-34.998234,1.288139,2
1754854724.984,-0.211765,5.754738,8.042277,-73.375937,-35.043331,1.289993,2
1754854724.993,-0.196211,5.761917,7.992028,-73.369448,-35.092583,1.280132,2
1754854725.002,-0.133998,5.748756,7.939385,-73.369448,-35.092583,1.280132,2
1754854725.012,-0.053839,5.71765,7.919046,-73.370828,-35.184319,1.224584,2
1754854725.021,-0.032303,5.704489,7.874779,-73.37397,-35.220635,1.196141,2
1754854725.031,-0.062213,5.710471,7.867601,-73.371067,-35.248738,1.179321,2
1754854725.04,-0.089731,5.702096,7.879565,-73.365623,-35.266647,1.167608,2
1754854725.05,-0.092124,5.723632,7.920243,-73.362229,-35.270906,1.156202,2
1754854725.059,-0.049053,5.720043,8.023134,-73.361081,-35.266596,1.14411,2
1754854725.069,-0.014357,5.736792,8.127222,-73.364558,-35.254243,1.134953,2
1754854725.078,-0.056231,5.706882,8.16431,-73.366081,-35.242106,1.140283,2
1754854725.088,-0.150748,5.666204,8.098508,-73.359005,-35.233568,1.164119,2
1754854725.097,-0.27996,5.685347,8.015956,-73.344511,-35.232684,1.195407,2
1754854725.107,-0.349352,5.743971,7.895118,-73.320045,-35.240426,1.224574,2
1754854725.116,-0.348156,5.771488,7.862815,-73.28765,-35.254827,1.239882,2
1754854725.125,-0.285942,5.743971,7.852047,-73.28765,-35.254827,1.239882,2
1754854725.135,-0.226122,5.709275,7.874779,-73.233521,-35.257508,1.225514,2
1754854725.144,-0.210568,5.68415,7.944171,-73.216295,-35.235232,1.221509,2
1754854725.154,-0.240479,5.650651,8.031509,-73.207142,-35.196651,1.227138,2
1754854725.163,-0.263211,5.653043,8.102098,-73.207258,-35.144957,1.23953,2
1754854725.173,-0.254836,5.651847,8.17149,-73.212962,-35.087689,1.253789,2
1754854725.182,-0.230907,5.678168,8.222935,-73.223665,-35.026351,1.269179,2
1754854725.192,-0.198604,5.672186,8.257631,-73.236102,-34.964483,1.288523,2
1754854725.201,-0.204586,5.592027,8.262417,-73.251388,-34.903243,1.310876,2
1754854725.211,-0.208176,5.540581,8.245667,-73.265834,-34.845323,1.331911,2
1754854725.22,-0.257228,5.532206,8.262417,-73.271558,-34.799035,1.354434,2
1754854725.229,-0.32662,5.572884,8.271988,-73.271558,-34.799035,1.354434,2
